"","sp_richn","fric","feve","fdiv"
"LB_R_1",8,0.322415131906572,0.714761,0.880667650138167
"LB_R_2",10,0.563221214485801,0.576232,0.967416584573369
"LB_R_3",7,0.336340992174788,0.423243,0.88338332304008
"LB_R_4",8,0.150752138279834,0.554908,0.804383810211882
"LB_R_5",7,0.220082276782748,0.528437,0.948572549106714
"LB_R_6",4,0.0792865058473274,0.570407,0.964752424919943
"LB_R_7",11,0.333560715815012,0.157318,0.764348490040714
"LB_R_8",11,0.420673111648796,0.444049,0.771346658757477
"LB_R_9",6,0.22844163009907,0.766641,0.799518924594282
"PM_R_1",7,0.238957899297966,0.579516,0.893503987137425
"PM_R_2",11,0.432814939103924,0.317331,0.854978677441608
"PM_R_3",8,0.336263157213803,0.632909,0.90597494789255
"PM_R_4",7,0.184010224927217,0.663947,0.852199822726691
"PM_R_5",10,0.37731988537992,0.45714,0.801997205067342
"PM_R_6",14,0.660719035189595,0.597313,0.82573773425633
"PM_R_7",7,0.27171885242614,0.467972,0.765649391007911
"PM_R_8",7,0.170683232107864,0.428681,0.708671149678206
"PM_R_9",4,0.0173802010425181,0.146234,0.797376464858065
"RB_R_1",11,0.599834991610856,0.592177,0.774053852501231
"RB_R_2",9,0.448408891558585,0.338984,0.897464569361981
"RB_R_3",11,0.528886865292975,0.103599,0.828440648294892
"RB_R_4",10,0.450393505895413,0.335654,0.789602111926126
"RB_R_5",7,0.381741662599397,0.048098,0.808961944557197
"RB_R_6",6,0.282796797682247,0.230584,0.569442555950769
"RB_R_7",10,0.468555407448688,0.210015,0.803929893167979
"RB_R_8",9,0.272313152256639,0.444796,0.888757717280673
"RB_R_9",8,0.349464026641435,0.152913,0.776259483946084
"Z_R_1",12,0.353529850482319,0.317761,0.605936842481922
"Z_R_2",14,0.404814067656396,0.551833,0.841851046025489
"Z_R_3",8,0.155473653929378,0.482542,0.787826523428833
"Z_R_4",11,0.383004301223249,0.378203,0.881963909508519
"Z_R_5",7,0.309577790946327,0.657882,0.96755727001211
"Z_R_7",8,0.306736797137181,0.360666,0.842251362627276
"Z_R_8",9,0.379874461693925,0.796229,0.934326068423637
"Z_R_9",12,0.346262330374536,0.336521,0.631959314001048
