Site,Alloclinus.holderi,Anisotremus.davidsonii,Atherinops.sp,Brachyistius.frenatus,Chromis.punctipinnis,Embiotoca.jacksoni,Embiotoca.lateralis,Girella.nigricans,Brachygenys.californiensis,Halichoeres.semicinctus,Heterostichus.rostratus,Hypocritichthys.analis,Hypsurus.caryi,Hypsypops.rubicundus,Leiocottus.hirundo,Lythrypnus.dalli,Medialuna.californiensis,Ophiodon.elongatus,Oxyjulis.californica,Oxylebius.pictus,Paralabrax.clathratus,Paralabrax.nebulifer,Phanerodon.furcatus,Rhacochilus.toxotes,Rhacochilus.vacca,Rhinogobiops.nicholsii,Sebastes.atrovirens,Sebastes.auriculatus,Sebastes.carnatus,Sebastes.chrysomelas,Sebastes.melanops,Sebastes.miniatus,Semicossyphus.pulcher,Urolophus.halleri,Zapteryx.exasperata
CK_K_1,0,0,0,0,0,0,0,0,0,0,0,0,90.19314503,0,0,0,0,0,236.1252952,0,723.7618343,0,0,0,90.19314503,29.48210088,0,0,0,0,0,0,42.28205212,0,0
CK_K_2,0,0,0,0,900.7370364,0,0,0,0,0,0,0,20.81595631,0,0,0,0,0,332.4295551,81.9411213,483.6831975,0,0,0,0,53.58687763,0,0,0,0,0,158.654041,288.3716598,0,0
CK_K_3,0,0,0,0,0,0,0,0,0,0,0,0,165.8987186,0,0,0,0,0,494.1341047,0,422.6096515,0,0,0,0,29.48210088,831.7858057,0,0,0,0,0,98.95207585,0,0
CK_K_4,2.957219581,0,0,0,0,0,252.6112432,0,0,0,0,0,406.1794752,0,0,0,0,0,1013.096263,27.3137071,586.9164652,0,0,0,300.8781135,0,0,0,0,0,0,0,217.1476949,0,0
CK_K_5,0,0,0,0,239.7122758,253.0892811,0,0,0,0,0,0,190.7942682,0,60.12238477,0,0,0,788.7504115,81.9411213,554.7525648,0,0,0,406.5720429,77.69165439,466.8156813,0,0,0,0,0,528.3038783,0,0
CK_K_6,0,0,0,7.487552329,755.4568693,388.6812675,0,0,0,0,0,0,0,0,0,0,0,0,701.3018988,128.2642561,401.8931054,0,0,0,0,160.7606329,2039.701871,290.2163247,0,0,0,655.1864491,487.0145755,0,0
CK_K_7,0,0,0,0,784.5129027,1095.489182,1209.094691,0,0,0,0,0,0,0,0,0,0,0,1266.427005,0,20.71654612,0,0,2822.261654,10260.69083,71.41370401,739.0866904,0,0,0,0,0,1388.419769,0,0
CK_K_8,0,0,0,0,453.9939969,0,0,0,0,0,0,0,255.781541,0,0,0,0,0,745.7564914,115.497729,76.56766236,0,0,1209.094691,436.167831,96.41910702,0,0,290.2163247,0,0,0,275.7152015,0,0
CK_K_9,0,0,0,0,563.4095021,0,0,0,0,0,0,0,0,0,0,0,0,0,627.1643904,27.3137071,187.9940295,0,0,751.5306716,2710.603642,72.31433026,0,0,0,0,0,0,3342.31733,0,0
LB_K_1,0,0,0,0,0,184.4885444,120.4918234,0,0,0,0,0,1761.704562,0,0,0,0,0,129.633898,27.3137071,255.9561454,0,0,0,45.09657251,0,290.2163247,0,0,0,0,0,450.8146705,0,0
LB_K_2,0,0,0,0,0,0,0,0,0,0,0,0,55.50455067,0,0,0,0,0,169.6123516,27.3137071,1655.194783,0,0,0,0,0,0.174430533,0,0,0,0,0,331.3924759,0,0
LB_K_3,0,0,0,0,0,777.3625349,457.5640191,0,0,0,0,0,315.6760076,0,0,0,0,0,162.6826333,329.6197824,372.2568304,0,0,0,165.588396,0,0,0,0,0,0,0,1457.878234,0,0
LB_K_4,0,0,0,7.703144227,2641.237992,0,90.19314503,0,0,0,0,0,45.09657251,0,0,0,0,0,559.1211603,27.3137071,571.7704607,0,0,0,165.588396,45.61407325,108.4810014,0,260.9344534,0,0,0,417.9225977,0,0
LB_K_5,0,0,0,0,559.5522474,0,120.4918234,0,0,0,0,0,0,0,0,0,0,693.0463319,275.4307906,27.3137071,102.1571754,0,0,0,0,0,158.654041,0,74.75379967,0,6.200588946,0,0,0,0
LB_K_6,0,0,0,0,1728.47542,0,252.6112432,0,0,0,0,0,0,0,0,0,0,0,418.8883947,0,744.7054217,0,0,0,373.1030666,24.25256939,158.654041,0,0,0,0,0,1072.474174,0,0
LB_K_7,0,0,0,7.487552329,463.7399293,388.6812675,252.6112432,0,0,0,0,0,1186.441347,0,0,0,0,0,185.7169879,136.5685355,1174.445095,0,0,0,342.8043882,29.48210088,1262.710856,961.2015728,0,158.654041,183.234801,0,734.4821799,0,0
LB_K_8,0,0,0,0,0,388.6812675,252.6112432,0,0,0,0,0,0,0,0,0,0,0,196.6648269,128.0823989,138.579368,0,0,0,252.6112432,10.75464825,959.4294013,0,480.6007864,0,0,0,170.0100712,0,0
LB_K_9,0,0,0,0,435.8405015,0,1493.183881,0,0,0,0,0,376.2733644,0,0,0,0,2614.602522,0,0,4.872966888,0,0,0,90.19314503,48.20955351,2011.211441,0,0,0,0,290.2163247,355.6107998,0,0
LR_K_1,0,0,0,559.6178468,0,0,0,0,0,0,0,0,578.0558425,475.3971867,0,0,0,0,843.8026787,0,1576.860054,351.7320452,177.6341845,0,0,0,0,0,0,0,0,0,0,0,0
LR_K_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.78843,518.8715959,706.9942554,0,0,0,0,0,0,0,0,0,0,0,0
LR_K_3,0,0,0,197.5121812,937.5797483,0,0,0,0,0,0,1776.341845,0,950.7943733,0,0,0,0,225.0140477,0,3642.346302,2125.894039,2530.916487,0,0,0,0,480.6007864,0,0,0,0,413.066348,0,0
LR_K_4,0,0,35.52309077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.5692804,117.3767774,88.81709224,0,0,0,0,0,0,0,0,0,0,0,0
LR_K_5,0,0,0,0,0,0,0,0,0,0,0,0,451.6686154,0,0,0,0,0,70.31688989,0,569.5829956,916.9110512,969.8967599,0,0,0,0,0,0,0,0,0,56.67002373,0,0
LR_K_6,0,0,0,14.97510466,626.2110926,0,0,0,0,0,0,0,782.8454073,2397.702509,0,0,73.45498467,0,70.31688989,27.3137071,2251.264664,1262.899212,0,0,0,0,0,1031.325727,74.75379967,0,0,0,1282.085447,0,0
LR_K_7,0,0,0,32.91869687,0,0,0,0,0,0,0,0,0,126.858299,0,0,0,0,162.502851,73.45498467,600.4346467,748.1607849,1671.407509,0,120.4918234,0,0,0,0,0,0,0,82.95281897,0,0
LR_K_8,0,365.7657391,0,98.75609062,0,0,0,0,0,0,0,0,120.4918234,380.574897,0,0,73.45498467,0,0,27.3137071,1928.225774,290.4667383,1877.504898,0,240.9836469,0,639.2548274,0,0,0,0,0,0,0,0
LR_K_9,0,0,0,98.75609062,0,0,0,0,0,156.3585862,0,0,45.09657251,126.858299,0,0,0,0,67.19853526,73.45498467,2080.861511,1097.947171,2309.934898,0,0,0,74.75379967,0,0,0,0,0,25.99659768,0,0
RB_K_1,0,0,0,0,435.2147194,0,0,0,0,286.5805663,0,0,1263.056216,602.2554857,0,0,154.7552811,0,0,0,8664.109677,1206.787742,0,0,0,0,0,0,0,0,0,0,1873.145814,0,0
RB_K_2,0,0,0,0,176.1489399,0,0,0,0,1983.11894,0,0,0,698.1457935,0,0,154.7552811,0,59.31554643,0,9167.798721,0,0,0,0,0,0,0,0,0,0,0,2519.436607,634.6614706,1736.867981
RB_K_3,0,0,0,0,4624.251653,2398.050568,0,32190.79631,0,761.9408951,240.988933,0,0,12650.92063,0,0.137347182,2074.453658,0,40.37489403,0,9573.474399,1022.704017,0,0,0,24.10477675,0,0,0,0,0,0,4168.262104,0,0
RB_K_4,0,0,0,0,1574.307411,0,0,0,0,376.8342051,0,0,0,47.9451539,0,0.137347182,367.2749233,0,14.06337798,0,4241.195053,1141.348647,0,0,0,0,0,0,0,0,0,0,813.6422072,0,0
RB_K_5,0,0,4862.375738,7.487552329,1080.407047,0,0,0,0,3011.262545,0,0,0,0,0,0.274694364,220.364954,0,28.12675596,0,2771.307872,0,0,0,0,0,0,0,0,0,0,0,701.2727163,0,0
RB_K_6,0,0,0,0,771.7193193,0,0,0,0,1129.708444,0,0,120.4918234,0,0,0,3232.019325,0,0,0,2302.074729,524.8220061,0,0,0,0,0,0,0,0,0,0,355.6107998,0,0
RB_K_7,0,0,0,0,308.6877277,0,0,0,12778.95498,53.94802136,0,0,45.09657251,186.0312138,0,0.137347182,154.7552811,0,14.06337798,27.3137071,1936.995457,55.71318356,0,0,120.4918234,0,0,0,0,0,0,0,42.28205212,0,0
RB_K_8,0,0,3403.663017,14.97510466,30.86877277,0,0,0,0,740.1712411,0,0,120.4918234,0,0,0.137347182,611.1758126,0,404.7196068,0,1358.60955,0,0,0,0,0,0,0,0,0,0,0,170.0100712,0,0
RB_K_9,0,0,1458.712721,0,1365.49001,0,0,0,0,180.0044391,0,0,0,174.8034529,0,0.961430273,1083.286968,0,133.2601799,27.3137071,840.5197627,351.7320452,0,0,0,0,0,0,0,0,0,0,316.0997708,0,0
