transect,Substrate,RI,Ind_kelp,Stipes,Diameter,,,,,,,,,,,
CK_K_1,1,0.05,31,10.44,1.6,,,,,,,,,,,
CK_K_2,1,0.17,22,12.44,1.97,,,,,,,,,,,
CK_K_3,1,0.05,43,11.44,1.68,,,,,,,,,,,
CK_K_4,2,0.11,28,11.67,1.96,,,,,,,,,,,
CK_K_5,2,0.03,31,14,2.13,,,,,,,,,,,
CK_K_6,1,0.07,37,13.56,2.32,,,,,,,,,,,
CK_K_7,1,0.13,32,4.11,0.72,,,,,,,,,,,
CK_K_8,1,0.18,25,7,1.09,,,,,,,,,,,
CK_K_9,1,0.13,34,11.44,1.48,,,,,,,,,,,
LB_K_1,1,0.14,15,21.89,2.54,,,,,,,,,,,
LB_K_2,3,0.15,18,28,3.56,,,,,,,,,,,
LB_K_3,1,0.16,29,21.78,2.42,,,,,,,,,,,
LB_K_4,1,0.14,47,8.78,1.36,,,,,,,,,,,
LB_K_5,1,0.28,48,4.44,0.89,,,,,,,,,,,
LB_K_6,2,0.25,46,3.44,0.82,,,,,,,,,,,
LB_K_7,1,0.16,46,24.11,3.18,,,,,,,,,,,
LB_K_8,1,0.14,84,4,0.88,,,,,,,,,,,
LB_K_9,1,0.1,93,3.33,0.63,,,,,,,,,,,
LR_K_1,1,0.11,41,19.56,2.17,,,,,,,,,,,
LR_K_2,3,0.15,39,20.78,2.22,,,,,,,,,,,
LR_K_3,2,0.07,58,15.11,1.91,,,,,,,,,,,
LR_K_4,1,0.007,34,21.89,3.42,,,,,,,,,,,
LR_K_5,1,0.09,27,22.11,3.06,,,,,,,,,,,
LR_K_6,1,0.05,34,19.89,2.61,,,,,,,,,,,
LR_K_7,3,0,17,21.33,3.11,,,,,,,,,,,
LR_K_8,3,0.04,25,19.22,2.6,,,,,,,,,,,
LR_K_9,1,0.03,31,16.89,2.05,,,,,,,,,,,
RB_K_1,1,0.07,50,15.78,1.92,,,,,,,,,,,
RB_K_2,1,0.11,50,9.78,1.47,,,,,,,,,,,
RB_K_3,1,0.25,38,12.89,1.67,,,,,,,,,,,
RB_K_4,2,0.1,88,14.89,1.82,,,,,,,,,,,
RB_K_5,3,0.19,69,14,2.08,,,,,,,,,,,
RB_K_6,2,0,53,17.78,2.62,,,,,,,,,,,
RB_K_7,2,0.1,111,14.67,1.68,,,,,,,,,,,
RB_K_8,3,0.05,60,14,1.96,,,,,,,,,,,
RB_K_9,3,0.3,47,17.11,2.53,,,,,,,,,,,
